Domanda;Risposta
quanto incidono le abitudini alimentari sul rischio di sviluppare un tumore?;l'american institute for cancer research ha calcolato che le cattive abitudini alimentari sono responsabili di circa tre tumori su dieci
quali sostanze possono favorire lo sviluppo della malattia?;i nitriti e i nitrati utilizzati per la conservazione dei salumi, per esempio, facilitano la comparsa del tumore dello stomaco, più in generale gli studi epidemiologici hanno dimostrato che un'alimentazione ricca di grassi e proteine animali favorisce la comparsa della malattia
esistono tumori legati più di altri al tipo di alimentazione?;la risposta è sì: ci sono tumori più sensibili di altri agli effetti del cibo.
quali sono i tumori che risentono maggiormente della quantità e della qualità dei cibi?;i tumori dell'apparato gastrointestinale, e in particolare quelli dell'esofago, dello stomaco e del colon-retto
cosa mangiare per cercare di prevenire la malattia?;"occorre portare a tavola almeno cinque porzioni di frutta e verdura al giorno; privilegiare nella scelta dicereali, pane, pasta e riso quelli integrali e abbinarli sempre a un po' di legumi"
le carni rosse si possono mangiare?;da evitare soprattutto le carni rosse (manzo, maiale e agnello) e quelle lavorate a livello industriale, oltre a quelle conservate nel sale come i salumi.
come orientarsi nella scelta di frutta e verdura?;una prima regola è quella della varietà : assortire il più possibile i colori di frutta e verdura
le probabilità di ammalarsi dipendono anche dalla quantità dell'apporto calorico, oltre che dalla scelta del menu?;certamente. oltre alla qualità, conta molto anche la quantità di cibo assunta quotidianamente.
una dieta ricca di calorie aumenta la probabilità di ammalarsi?;certamente. oltre alla qualità, conta molto anche la quantità di cibo assunta quotidianamente.
l'obesità aumenta il rischio di ammalarsi?;certamente. talvolta la taglia non incide solo sul rischio di ammalarsi, ma anche sull'andamento della malattia stessa.
anche le modalità di cottura dei cibi incidono sul rischio?;sì, la cottura alla griglia, soprattutto della carne, produce sostanze cancerogene. 
a quale temperatura vanno cotti i cibi?;è meglio cucinare i cibi a temperature più basse, per esempio utilizzando il vapore o il cartoccio.
l'alcool favorisce lo sviluppo dei tumori?;una recente analisi pubblicata sul british medical journal, sempre basata sui dati dello studio epic su un campione di circa 100.000 abitanti di otto paesi europei, ha dimostrato che il dieci per cento dei decessi per cancro tra gli uomini e il tre per cento tra le donne si possono attribuire all'abuso di alcol.
il rischio del consumo di alcool è lo stesso per ogni tumore?;il rischio del consumo di alcol varia da tumore a tumore: è maggiore per le forme che interessano il cavo orale, dalla gola all'esofago e alla laringe, ma favorisce anche i tumori del fegato e del colon-retto.
l'alcool può essere responsabile del tumore al seno?;nelle donne, sembra sia responsabile del cinque per cento dei casi di tumore al seno.
esistono bevande che possono avere un ruolo benefico?;succhi, spremute, frullati e centrifughe di frutta e verdura, purché privi di zuccheri aggiunti, possono sopperire almeno in parte a uno scarso apporto di alimenti vegetali nella dieta.
in che modo agiscono gli alimenti sulla nascita e lo sviluppo dei tumori?;una dieta sana ed equilibrata può, su diversi fronti, ostacolare lo sviluppo di determinati tumori
si possono sostituire le sostanze benefiche contenute nei cibi con farmaci e integratori?;non solo l'effetto non è altrettanto benefico, ma in molti casi si è rivelato controproducente,aumentando, invece di diminuire, il rischio di sviluppare alcuni tumori.
gli integratori di sostanze benefiche ottengono lo stesso effetto?;non solo l'effetto non è altrettanto benefico, ma in molti casi si è rivelato controproducente,aumentando, invece di diminuire, il rischio di sviluppare alcuni tumori.
perché si insiste tanto sui rischi del fumo?;l'istituto superiore di sanità stima che il fumo di tabacco sia responsabile di un terzo delle morti per cancro e del 15 per cento circa di tutti i decessi che avvengono per qualunque causa, provocando più vittime di alcol, aids, droghe, incidenti stradali, omicidi e suicidi messi insieme.
che cosa si inala con il fumo di sigaretta?;ogni volta che si accende una sigaretta si introducono oltre 4.000 sostanze chimiche, almeno un'ottantina delle quali sono anche cancerogene.
